001##01 阿含部類 T01-02,25,33
001001##0001-25 長阿含經類 T01
001001001##0001 長阿含經(22卷)
001005002006##0130 佛說給孤長者女得度因緣經(3卷)
001005002007##0131 佛說婆羅門避死經(1卷)
001005002008##0132a 佛說食施獲五福報經(1卷)
001005002009##0132b 施食獲五福報經(1卷)
001005002010##0133 頻毘娑羅王詣佛供養經(1卷)
001005002011##0134 佛說長者子六過出家經(1卷)
001005002012##0135 佛說力士移山經(1卷)
001005002013##0136 佛說四未曾有法經(1卷)
001005002014##0137 舍利弗摩訶目連遊四衢經(1卷)
001005002015##0138 佛說十一想思念如來經(1卷)
001005002016##0139 佛說四泥犁經(1卷)
001005002017##0140 阿那邠邸化七子經(1卷)
001005002018##0141 佛說阿&CB00534;達經(1卷)
001005002019##0142a 佛說玉耶女經(1卷)
001005002020##0142b 玉耶女經(1卷)
001005002021##0143 玉耶經(1卷)
001005002022##0144 佛說大愛道般泥洹經(1卷)
001005002023##0145 佛母般泥洹經(1卷)
001005002024##0146 舍衛國王夢見十事經(1卷)
001005002025##0147 佛說舍衛國王十夢經(1卷)
001005002026##0148 國王不梨先泥十夢經(1卷)
001006##0149-51 阿難同學經等 T02
001006001##0149 佛說阿難同學經(1卷)
001006002##0150A 七處三觀經(1卷)
001006003##0150B 九橫經(1卷)
001006004##0151 佛說阿含正行經(1卷)
001007##1505-08 阿含經論釋 T25
001007001##1505 四阿鋡暮抄解(2卷)
001007002##1506 三法度論(3卷)
001007003##1507 分別功德論(5卷)
001007004##1508 阿含口解十二因緣經(1卷)
001008##1693-94 阿含經疏 T33
001008001##1693 人本欲生經註 1 道安
001008002##1694 陰持入經註 2 陳慧
002##02 本緣部 T03-04
002001##0152-83 佛本生經類 T03
002001001##0152 六度集經(8卷)
002001002##0153 菩薩本緣經(3卷)
002001003##0154 生經(5卷)
002001004##0155 菩薩本行經(3卷)
002001005##0156 大方便佛報恩經(7卷)
002001006##0157 悲華經(10卷)
002001007##0158 大乘悲分陀利經(8卷)
002001008##0159 大乘本生心地觀經(8卷)
002001009##0160 菩薩本生鬘論(16卷)
002001010##0161 長壽王經(1卷)
002001011##0162 金色王經(1卷)
002001012##0163 妙色王因緣經(1卷)
002001013##0164 師子素馱娑王斷肉經(1卷)
002001014##0165 頂生王因緣經(6卷)
002001015##0166 月光菩薩經(1卷)
002001016##0167 太子慕魄經(1卷)
002001017##0168 太子墓魄經(1卷)
002001018##0169 月明菩薩經(1卷)
002001019##0170 德光太子經(1卷)
002001020##0171 太子須大拏經(1卷)
002001021##0172 菩薩投身飴餓虎起塔因緣經(1卷)
002001022##0173 福力太子因緣經(4卷)
002001023##0174 菩薩睒子經(1卷)
002001024##0175a 睒子經(1卷)
002001025##0175b 佛說睒子經(1卷)
002001026##0175c 佛說睒子經(1卷)
002001027##0176 師子月佛本生經(1卷)
002001028##0177 大意經(1卷)
002001029##0178 前世三轉經(1卷)
002001030##0179 銀色女經(1卷)
002001031##0180 過去世佛分衛經(1卷)
002001032##0181a 九色鹿經(1卷)
002001033##0181b 佛說九色鹿經(1卷)
002001034##0182a 鹿母經(1卷)
002001035##0182b 佛說鹿母經(1卷)
002001036##0183 一切智光明仙人慈心因緣不食肉經(1卷)
002002##0184-96 佛傳類 T03-04
002002001##0184 修行本起經(2卷)
002002002##0185 太子瑞應本起經(2卷)
002002003##0186 普曜經(8卷)
002002004##0187 方廣大莊嚴經(12卷)
002002005##0188 異出菩薩本起經(1卷)
002002006##0189 過去現在因果經(4卷)
002002007##0190 佛本行集經(60卷)
002002008##0191 眾許摩訶帝經(13卷)
002002009##0192 佛所行讚(5卷)
002002010##0193 佛本行經(7卷)
002002011##0194 僧伽羅剎所集經(3卷)
002002012##0195 佛說十二遊經(1卷)
002002013##0196 中本起經(2卷)
002003##0197-209 佛及弟子因緣 T04
002003001##0197 佛說興起行經(2卷)
002003002##0198 佛說義足經(2卷)
002003003##0199 佛五百弟子自說本起經(1卷)
002003004##0200 撰集百緣經(10卷)
002003005##0201 大莊嚴論經(15卷)
002003006##0202 賢愚經(13卷)
002003007##0203 雜寶藏經(10卷)
002003008##0204 雜譬喻經(1卷)
002003009##0205 雜譬喻經(2卷)
002003010##0206 舊雜譬喻經(2卷)
002003011##0207 雜譬喻經(1卷)
002003012##0208 眾經撰雜譬喻(2卷)
002003013##0209 百喻經(4卷)
002004##0210-13 法句經類 T04
002004001##0210 法句經(2卷)
002004002##0211 法句譬喻經(4卷)
002004003##0212 出曜經(30卷)
002004004##0213 法集要頌經(4卷)
002005##0214-19 譬喻經類 T04
002005001##0214 猘狗經(1卷)
002005002##0215 群牛譬經(1卷)
002005003##0216 大魚事經(1卷)
002005004##0217 譬喻經(1卷)
002005005##0218 灌頂王喻經(1卷)
002005006##0219 醫喻經(1卷)
003##03 般若部類 T05-08,25,33,40,85
003001##01 上品般若(大般若經第1會) T05-06
003001001##0220a 大般若經 1-200
003001002##0220b 大般若經 201-400
003002##02 中品般若經(大般若經第2-3會) T07-08／論 T25／疏 T33
003002001##0220-23 中品般若經 T07-08
003002001001##0220c 大般若經 401-537 第2-3會
003002001002##0221 放光般若經(20卷)
003002001003##0222 光讚經(10卷)
003002001004##0223 摩訶般若波羅蜜經(27卷)
003002002##1509 大智度論 T25
003002003##1696-97 中品般若經疏 T33
003002003001##1696 大品遊意 1 吉藏
003002003002##1697 大慧度經宗要 1 元曉
003003##03 小品般若經(大般若經第4-5會) T07-08／T25 論
003003001##0220,24-29 小品般若經 T07-08
003003001001##0220d 大般若經 538-565 第4-5會
003003001002##0224 道行般若經(10卷)
003003001003##0225 大明度經(6卷)
003003001004##0226 摩訶般若鈔經(5卷)
003003001005##0227 小品般若波羅蜜經(10卷)
003003001006##0228 佛說佛母出生三法藏般若波羅蜜多經(25卷)
003003001007##0229 佛說佛母寶德藏般若波羅蜜經(3卷)
003003002##1516-18 八千頌般若經釋論 T25
003003002001##1516 聖佛母般若波羅蜜多九頌精義論(2卷)
003003002002##1517 佛母般若波羅蜜多圓集要義釋論(4卷)
003003002003##1518 佛母般若波羅蜜多圓集要義論(1卷)
003004##04 天王般若(大般若經第6會) T07-08
003004001##0220e 大般若經 566-73 第6會
003004002##0231 勝天王般若波羅蜜經(7卷)
003005##05 文殊般若(大般若經第7會) T07-08
003005001##0220f 大般若經 574-5 第7會
003005002##0232 文殊師利所說摩訶般若波羅蜜經(2卷)
003005003##0233 文殊師利所說般若波羅蜜經(1卷)
003006##06 那伽室利般若(大般若經第8會) T07-08
003006001##0220g 大般若經 576 第8會
003006002##0234 佛說濡首菩薩無上清淨分衛經(2卷)
003007##07 金剛般若經(大般若經第9會) T07-08／論 T25／疏 T33,40,85
003007001##0220,0235-39 金剛般若經 T07-08
003007001001##0220h 大般若經 577 第9會
003007001002##0235 金剛般若波羅蜜經(1卷)
003007001003##0236a 金剛般若波羅蜜經(1卷)
003007001004##0236b 金剛般若波羅蜜經(1卷)
003007001005##0237 金剛般若波羅蜜經(1卷)
003007001006##0238 金剛能斷般若波羅蜜經(1卷)
003007001007##0239 佛說能斷金剛般若波羅蜜多經(1卷)
003007002##1510-15 金剛般若釋論 T25
003007002001##1510a 金剛般若論(2卷)
003007002002##1510b 金剛般若波羅蜜經論(3卷)
003007002003##1511 金剛般若波羅蜜經論(3卷)
003007002004##1512 金剛仙論(10卷)
003007002005##1513 能斷金剛般若波羅蜜多經論釋(3卷)
003007002006##1514 能斷金剛般若波羅蜜多經論頌(1卷)
003007002007##1515 金剛般若波羅蜜經破取著不壞假名論(2卷)
003007003##1698-1704 金剛經疏 T33
003007003001##1698 金剛般若經疏 1 智顗
003007003002##1699 金剛般若疏 4 吉藏
003007003003##1700 金剛般若經贊述 2 窺基
003007003004##1701 金剛般若經疏論纂要 2 宗密
003007003005##1702 金剛經纂要刊定記 7 子璿
003007003006##1703 金剛般若波羅蜜經註解 1 宗．如
003007003007##1704 佛說金剛般若波羅蜜經略疏 2 智儼
003007004##1816-17 金剛經論釋 T40
003007004001##1816 金剛般若論會釋(3卷)T40
003007004002##1817 略明般若末後一頌讚述(1卷)T40
003007005##2732-43 金剛經古逸疏 T85
003007005001##2732 梁朝傅大士頌金剛經 1卷
003007005002##2733 御注金剛般若波羅蜜經宣演 2卷
003007005003##2734 金剛●卷上 1卷
003007005004##2735 金剛般若經旨贊 2卷
003007005005##2736 金剛般若經依天親菩薩論贊略釋秦本義記卷上 1卷
003007005006##2737 金剛經疏 1卷
003007005007##2738 金剛經疏 1卷
003007005008##2739 金剛般若經挾註 1卷
003007005009##2740 金剛般若義記 1卷
003007005010##2741 金剛般若經疏 1卷
003007005011##2742 金剛般若波羅蜜經傳外傳卷下 2卷
003007005012##2743 持誦金剛經靈驗功德記 1卷
003008##08 理趣般若經(大般若經第10會) T07-08／疏 T33
003008001##0220i 大般若經 578 第10會
003008002##0240 實相般若波羅蜜經(1卷)
003008003##0241 金剛頂瑜伽理趣般若經(1卷)
003008004##0242 佛說遍照般若波羅蜜經(1卷)
003008005##0243 大樂金剛不空真實三麼耶經(1卷)
003008006##0244 佛說最上根本大樂金剛不空三昧大教王經(7卷)
003008007##1695 般若理趣分述讚(3卷) 窺基 T33
003009##09 六分般若(大般若經第11-16會) T07
003009001##0220j 大般若經 579-83 布施分
003009002##0220k 大般若經 584-88 淨戒分
003009003##0220l 大般若經 589 安忍分
003009004##0220m 大般若經 590 精進分
003009005##0220n 大般若經 591-2 靜慮分
003009006##0220o 大般若經 593-600 般若分
003010##10 般若心經 T08／疏 T33,85
003010001##0250-57 般若心經 T08
003010001001##0250 摩訶般若波羅蜜大明咒經(1卷)
003010001002##0251 般若波羅蜜多心經(1卷)
003010001003##0252 普遍智藏般若波羅蜜多心經(1卷)
003010001004##0253 般若波羅蜜多心經(1卷)
003010001005##0254 般若波羅蜜多心經(1卷)
003010001006##0255 般若波羅蜜多心經(1卷)
003010001007##0256 唐梵翻對字音般若波羅蜜多心經(1卷)
003010001008##0257 佛說聖佛母般若波羅蜜多經(1卷)
003010002##1710-14 般若心經疏 T33
003010002001##1710 般若波羅蜜多心經幽贊(2卷)
003010002002##1711 般若波羅蜜多心經贊(1卷)
003010002003##1712 般若波羅蜜多心經略疏(1卷)
003010002004##1713 般若心經略疏連珠記(2卷)
003010002005##1714 般若波羅蜜多心經註解(1卷)
003010003##2746-47 心經古逸疏 T85
003010003001##2746 般若波羅蜜多心經還源述 1卷
003010003002##2747 挾註波羅蜜多心經 1卷
003011##11 仁王般若經 T08／疏 T33,85
003011001##0245-46 仁王經 T08
003011001001##0245 佛說仁王般若波羅蜜經(2卷)
003011001002##0246 仁王護國般若波羅蜜多經(2卷)
003011002##1705-09 仁王經疏 T33
003011002001##1705 仁王護國般若經疏(5卷)
003011002002##1706 仁王護國般若波羅蜜經疏神寶記(4卷)
003011002003##1707 仁王般若經疏(6卷)
003011002004##1708 仁王經疏(6卷)
003011002005##1709 仁王護國般若波羅蜜多經疏(7卷)
003011003##2744-45 仁王經古逸疏 T85
003011003001##2744 仁王般若實相論卷第二 2卷
003011003002##2745 仁王經疏 1卷
003012##12 其他般若 T08
003012001##0230 聖八千頌般若波羅蜜多一百八名真實圓義陀羅尼經(1卷)
003012002##0247 佛說了義般若波羅蜜多經(1卷)
003012003##0248 佛說五十頌聖般若波羅蜜經(1卷)
003012004##0249 佛說帝釋般若波羅蜜多心經(1卷)
003012005##0258 佛說聖佛母小字般若波羅蜜多經(1卷)
003012006##0259 佛說觀想佛母般若波羅蜜多菩薩經(1卷)
003012007##0260 佛說開覺自性般若波羅蜜多經(4卷)
003012008##0261 大乘理趣六波羅蜜多經(10卷)
004##04 法華部類 T09a,26a,33-34,40,46,85
004001##T09a 法華經／疏 T33-34,85
004001001##0262-65 法華經／疏
004001001001##0262-65 法華經 T09a
004001001001001##0262 妙法蓮華經(7卷)
004001001001002##0263 正法華經(10卷)
004001001001003##0264 添品妙法蓮華經(7卷)
004001001001004##0265 薩曇分陀利經(1卷)
004001001002##1715-29 法華經疏 T33-4
004001001002001##1715 法華經義記(8卷)
004001001002002##1716-7 法華玄義及釋 T33
004001001002002001##1716 妙法蓮華經玄義(20卷)
004001001002002002##1717 法華玄義釋籤(20卷)
004001001002003##1718-9 法華文句及記 T34
004001001002003001##1718 妙法蓮華經文句(20卷)
004001001002003002##1719 法華文句記(31卷)
004001001002004##1720-2 法華玄論義疏等(吉藏) T34
004001001002004001##1720 法華玄論(10卷)
004001001002004002##1721 法華義疏(12卷)
004001001002004003##1722 法華遊意(1卷)
004001001002005##1723-4 法華玄贊等(基沼) T34
004001001002005001##1723 妙法蓮華經玄贊(20卷)
004001001002005002##1724 法華玄贊義決(1卷)
004001001002006##1725 法華宗要(1卷)
004001001002007##1726-9 觀音經疏等 T34
004001001002007001##1726 觀音玄義(2卷)
004001001002007002##1727 觀音玄義記(4卷)
004001001002007003##1728 觀音義疏(2卷)
004001001002007004##1729 觀音義疏記(4卷)
004001001003##2748-52 法華經古逸疏 T85
004001001003001##2748 法華義記卷第三 1卷
004001001003002##2749 法華經疏 1卷
004001001003003##2750 法華經疏 1卷
004001001003004##2751 法華經疏 1卷
004001001003005##2752 法華問答 1卷
004001002##0266-68 不退轉法輪經等
004001002001##0266 佛說阿惟越致遮經(3卷)
004001002002##0267 不退轉法輪經(4卷)
004001002003##0268 佛說廣博嚴淨不退轉輪經(6卷)
004001003##0269 佛說法華三昧經(1卷)
004001004##0270-71 大法鼓經等 T09a
004001004001##0270 大法鼓經(2卷)
004001004002##0271 佛說菩薩行方便境界神通變化經(3卷)
004001005##0272 大薩遮尼乾子所說經(10卷)
004001006##0273 金剛三昧經／1730 論
004001006001##0273 金剛三昧經(1卷)
004001006002##1730 金剛三昧經論(3卷)
004001007##0274-75 方廣總持經等 T09a
004001007001##0274 佛說濟諸方等學經(1卷)
004001007002##0275 大乘方廣總持經(1卷)
004001008##0276 無量義經(1卷)
004001009##0277 佛說觀普賢菩薩行法經(1卷)
004002##T26a, T40 法華經釋論
004002001##1519 妙法蓮華經憂波提舍(2卷)
004002002##1520 妙法蓮華經論優波提舍(1卷)
004002003##1818 法華論疏(3卷) 吉藏 T40
004003##T46 天台宗
004003001##1911 摩訶止觀(20卷)
004003002##1912 止觀輔行傳弘決(40卷)
004003003##1913 止觀義例(2卷)
004003004##1914 止觀大意(1卷)
004003005##1915 修習止觀坐禪法要(1卷)
004003006##1916 釋禪波羅蜜次第法門(12卷)
004003007##1917 六妙法門(1卷)
004003008##1918 四念處(4卷)
004003009##1919 天台智者大師禪門口訣(1卷)
004003010##1920 觀心論(1卷)
004003011##1921 觀心論疏(5卷)
004003012##1922 釋摩訶般若波羅蜜經覺意三昧(1卷)
004003013##1923 諸法無諍三昧法門(2卷)
004003014##1924 大乘止觀法門(4卷)
004003015##1925 法界次第初門(6卷)
004003016##1926 法華經安樂行義(1卷)
004003017##1927 十不二門(1卷)
004003018##1928 十不二門指要鈔(2卷)
004003019##1929 四教義(12卷)
004003020##1930 天台八教大意(1卷)
004003021##1931 天台四教儀(1卷)
004003022##1932 金剛錍(1卷)
004003023##1933 南嶽思大禪師立誓願文(1卷)
004003024##1934 國清百錄(4卷)
004003025##1935 法智遺編觀心二百問(1卷)
004003026##1936 四明十義書(2卷)
004003027##1937 四明尊者教行錄(7卷)
004003028##1938 天台傳佛心印記(1卷)
004003029##1939 教觀綱宗(1卷)
004003030##1940 方等三昧行法(1卷)
004003031##1941 法華三昧懺儀(1卷)
004003032##1942 法華三昧行事運想補助儀(1卷)
004003033##1943 略法華三昧補助儀(1卷)
004003034##1944 禮法華經儀式(1卷)
004003035##1945 金光明懺法補助儀(1卷)
004003036##1946 金光明最勝懺儀(1卷)
004003037##1947 釋迦如來涅槃禮讚文(1卷)
004003038##1948 天台智者大師齋忌禮讚文(1卷)
004003039##1949 請觀世音菩薩消伏毒害陀羅尼三昧儀(1卷)
004003040##1950 千手眼大悲心&CB00057;行法(1卷)
004003041##1951 熾盛光道場念誦儀(1卷)
005##05 華嚴部類 T09b-10,26a,35-36,45,85
005001##T09b-10 華嚴部／疏 T35-36,85
005001001##0278 華嚴經 60卷 T09a／疏 T35,85
005001001001##0278 華嚴經(60卷)
005001001002##1731 華嚴遊意(1卷)
005001001003##1732 大方廣佛華嚴經搜玄分齊通智方軌(10卷)
005001001004##1733-34 華嚴經探玄記等
005001001004001##1733 華嚴經探玄記(20卷)
005001001004002##1734 花嚴經文義綱目(1卷)
005001001005##2753 華嚴經章 1卷
005001001006##2754 華嚴略疏卷第三 3卷
005001001007##2756 華嚴經義記卷第一 1卷
005001001008##2757 華嚴經疏卷第三 3卷
005001002##0279 華嚴經 80卷 T10／疏 T35-36,85
005001002001##0279 大方廣佛華嚴經(80卷)
005001002002##1735-38 華嚴經疏鈔等
005001002002001##1735 大方廣佛華嚴經疏(60卷)
005001002002002##1736 大方廣佛華嚴經隨疏演義鈔(90卷)
005001002002003##1737 大華嚴經略策(1卷)
005001002002004##1738 新譯華嚴經七處九會頌釋章(1卷)
005001002003##1739-41 新華嚴經論等
005001002003001##1739 新華嚴經論(40卷)
005001002003002##1740 大方廣佛華嚴經中卷卷大意略敘(1卷)
005001002003003##1741 略釋新華嚴經修行次第決疑論(4卷)
005001002004##1742 大方廣佛華嚴經願行觀門骨目(2卷)
005001002005##1743 皇帝降誕日於麟德殿講大方廣佛華嚴經玄義一部(1卷)
005001002006##2755 華嚴經疏 1卷
005001003##0280 佛說兜沙經(1卷)
005001004##0281 佛說菩薩本業經(1卷)
005001005##0282 諸菩薩求佛本業經(1卷)
005001006##0283 菩薩十住行道品(1卷)
005001007##0284 佛說菩薩十住經(1卷)
005001008##0285 漸備一切智德經(5卷)
005001009##0286 十住經(4卷)
005001010##0287 佛說十地經(9卷)
005001011##0288 等目菩薩所問三昧經(3卷)
005001012##0289 顯無邊佛土功德經(1卷)
005001013##0290 佛說較量一切佛剎功德經(1卷)
005001014##0291 佛說如來興顯經(4卷)
005001015##0292 度世品經(6卷)
005001016##0293 華嚴經(40)
005001017##0294 佛說羅摩伽經(3卷)
005001018##0295 大方廣佛華嚴經入法界品(1卷)
005001019##0296 文殊師利發願經(1卷)
005001020##0297 普賢菩薩行願讚(1卷)
005001021##0298 大方廣普賢所說經(1卷)
005001022##0299 大方廣總持寶光明經(5卷)
005001023##0300 大方廣佛華嚴經不思議佛境界分(1卷)
005001024##0301 大方廣如來不思議境界經(1卷)
005001025##0302 度諸佛境界智光嚴經(1卷)
005001026##0303 佛華嚴入如來德智不思議境界經(2卷)
005001027##0304 大方廣入如來智德不思議經(1卷)
005001028##0305 信力入印法門經(5卷)
005001029##0306 大方廣佛花嚴經修慈分(1卷)
005001030##0307 佛說莊嚴菩提心經(1卷)
005001031##0308 佛說大方廣菩薩十地經(1卷)
005001032##0309 最勝問菩薩十住除垢斷結經(10卷)
005002##T26a 華嚴經釋論／疏 T85
005002001##1521 十住毘婆沙論(17卷)
005002002##1522 十地經論 T26a／疏 T85
005002002001##1522 十地經論(12卷)
005002002002##2758 十地義記卷第一 1卷
005002002003##2799 十地論義疏卷第一．第二 3卷
005003##T45 華嚴宗
005003001##1866 華嚴一乘教義分齊章(4卷)
005003002##1867 華嚴五教止觀(1卷)
005003003##1868 華嚴一乘十玄門(1卷)
005003004##1869 華嚴五十要問答(2卷)
005003005##1870 華嚴經內章門等雜孔目章(4卷)
005003006##1871 華嚴經旨歸(1卷)
005003007##1872 華嚴策林(1卷)
005003008##1873 華嚴經問答(2卷)
005003009##1874 華嚴經明法品內立三寶章(2卷)
005003010##1875 華嚴經義海百門(1卷)
005003011##1876 修華嚴奧旨妄盡還源觀(1卷)
005003012##1877 華嚴遊心法界記(1卷)
005003013##1878 華嚴發菩提心章(1卷)
005003014##1879a 華嚴經關脈義記(1卷)
005003015##1879b 華嚴關脈義記(1卷)
005003016##1880 金師子章雲間類解(1卷)
005003017##1881 華嚴經金師子章註(1卷)
005003018##1882 三聖圓融觀門(1卷)
005003019##1883 華嚴法界玄鏡(2卷)
005003020##1884 註華嚴法界觀門(1卷)
005003021##1885 註華嚴經題法界觀門頌(2卷)
005003022##1886 原人論(1卷)
005003023##1887A 華嚴一乘法界圖(1卷)
005003024##1887B 法界圖記叢髓錄(4卷)
005003025##1888 解迷顯智成悲十明論(1卷)
005003026##1889 海印三昧論(1卷)
005003027##1890 華嚴一乘成佛妙義(1卷)
005003028##1891 文殊指南圖讚(1卷)
006##06 寶積部類 T11-12a,26a,37,40b,85
006001##0310-73 寶積部 T11-12a
006001001##0310 大寶積經(120卷)
006001002##0311-54 寶積經異譯
006001002001##0311 大方廣三戒經(3卷)
006001002002##0312 佛說如來不思議祕密大乘經(20卷)
006001002003##0313 阿&CB00434;佛國經(2卷)
006001002004##0314 佛說大乘十法經(1卷)
006001002005##0315a 佛說普門品經(1卷)
006001002006##0315b 佛說普門品經(1卷)
006001002007##0316 佛說大乘菩薩藏正法經(40卷)
006001002008##0317 佛說胞胎經(1卷)
006001002009##0318 文殊師利佛土嚴淨經(2卷)
006001002010##0319 大聖文殊師利菩薩佛剎功德莊嚴經(3卷)
006001002011##0320 父子合集經(20卷)
006001002012##0321 佛說護國尊者所問大乘經(4卷)
006001002013##0322 法鏡經(1卷)
006001002014##0323 郁迦羅越問菩薩行經(1卷)
006001002015##0324 佛說幻士仁賢經(1卷)
006001002016##0325 佛說決定毘尼經(1卷)
006001002017##0326 佛說三十五佛名禮懺文(1卷)
006001002018##0327 發覺淨心經(2卷)
006001002019##0328 佛說須賴經(1卷)
006001002020##0329 佛說須賴經(1卷)
006001002021##0330 佛說菩薩修行經(1卷)
006001002022##0331 佛說無畏授所問大乘經(3卷)
006001002023##0332 佛說優填王經(1卷)
006001002024##0333 佛說大乘日子王所問經(1卷)
006001002025##0334 佛說須摩提菩薩經(1卷)
006001002026##0335 佛說須摩提菩薩經(1卷)
006001002027##0336 須摩提經(1卷)
